,Rank,NetWorth($B),Age,Country,City,Industries,Self Made,Gender,Last Name,First Name,Birth Year,CPI Index,CPI Change,Country GDP,Country tertiary education enrollment,Country primary education enrollment,Country life expectancy,Population of country
0,1,211,74,France,Paris,Fashion & Retail,FALSE,M,Arnault,Bernard,1949,110.05,1.1,2.71552E+12,65.60%,102.50%,82.5,67059887
1,2,180,51,United States,Austin,Automotive,TRUE,M,Musk,Elon,1971,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
2,3,114,59,United States,Medina,Technology,TRUE,M,Bezos,Jeff,1964,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
3,4,107,78,United States,Lanai,Technology,TRUE,M,Ellison,Larry,1944,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
4,5,106,92,United States,Omaha,Finance & Investments,TRUE,M,Buffett,Warren,1930,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
5,6,104,67,United States,Medina,Technology,TRUE,M,Gates,Bill,1955,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
6,7,94.5,81,United States,New York,Media & Entertainment,TRUE,M,Bloomberg,Michael,1942,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
7,8,93,83,Mexico,Mexico City,Telecom,TRUE,M,Slim Helu,Carlos,1940,141.54,3.6,1.25829E+12,40.20%,105.80%,75,126014024
8,9,83.4,65,India,Mumbai,Diversified,FALSE,M,Ambani,Mukesh,1957,180.44,7.7,2.611E+12,28.10%,113.00%,69.4,1366417754
9,10,80.7,67,United States,Hunts Point,Technology,TRUE,M,Ballmer,Steve,1956,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
10,11,80.5,69,France,Paris,Fashion & Retail,FALSE,F,Bettencourt Meyers,Francoise,1953,110.05,1.1,2.71552E+12,65.60%,102.50%,82.5,67059887
11,12,79.2,50,United States,Palo Alto,Technology,TRUE,M,Page,Larry,1973,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
