Rank,NetWorth($B),Age,Country,City,Industries,Self Made,Gender,Last Name,First Name,Birth Year,CPI Index,CPI Change,Country GDP,Country tertiary education enrollment,Country primary education enrollment,Country life expectancy,Population of country,Number of Billionaires,NumberOfBillionaires_x,NumberOfBillionaires_y
1,211.0,74,France,Paris,Fashion & Retail,False,M,Arnault,Bernard,1949,110.05,1.1,2715518274227,65.6%,102.5%,82.5,67059887,2476,35,35
2,180.0,51,United States,Austin,Automotive,True,M,Musk,Elon,1971,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
3,114.0,59,United States,Medina,Technology,True,M,Bezos,Jeff,1964,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
4,107.0,78,United States,Lanai,Technology,True,M,Ellison,Larry,1944,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
5,106.0,92,United States,Omaha,Finance & Investments,True,M,Buffett,Warren,1930,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
6,104.0,67,United States,Medina,Technology,True,M,Gates,Bill,1955,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
7,94.5,81,United States,New York,Media & Entertainment,True,M,Bloomberg,Michael,1942,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
8,93.0,83,Mexico,Mexico City,Telecom,True,M,Slim Helu,Carlos,1940,141.54,3.6,1258286717125,40.2%,105.8%,75.0,126014024,2476,13,13
9,83.4,65,India,Mumbai,Diversified,False,M,Ambani,Mukesh,1957,180.44,7.7,2611000000000,28.1%,113.0%,69.4,1366417754,2476,157,157
10,80.7,67,United States,Hunts Point,Technology,True,M,Ballmer,Steve,1956,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
11,80.5,69,France,Paris,Fashion & Retail,False,F,Bettencourt Meyers,Francoise,1953,110.05,1.1,2715518274227,65.6%,102.5%,82.5,67059887,2476,35,35
12,79.2,50,United States,Palo Alto,Technology,True,M,Page,Larry,1973,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
13,77.3,87,Spain,La Coruna,Fashion & Retail,True,M,Ortega,Amancio,1936,110.96,0.7,1394116310769,88.9%,102.7%,83.3,47076781,2476,25,25
14,76.0,49,United States,Los Altos,Technology,True,M,Brin,Sergey,1973,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
15,68.0,68,China,Hangzhou,Food & Beverage,True,M,Zhong,Shanshan,1954,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
16,64.4,38,United States,Palo Alto,Technology,True,M,Zuckerberg,Mark,1984,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
17,59.0,87,United States,Wichita,Diversified,False,M,Koch,Charles,1935,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
17,59.0,60,United States,New York,Diversified,False,F,Koch,Julia,1962,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
19,58.8,74,United States,Bentonville,Fashion & Retail,False,M,Walton,Jim,1948,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
20,57.6,78,United States,Bentonville,Fashion & Retail,False,M,Walton,Rob,1944,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
21,56.7,73,United States,Fort Worth,Fashion & Retail,False,F,Walton,Alice,1949,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
22,54.4,65,Canada,Toronto,Media & Entertainment,False,M,Thomson,David,1957,116.76,1.9,1736425629520,68.9%,100.9%,81.9,36991981,2476,42,42
23,50.1,58,United States,Austin,Technology,True,M,Dell,Michael,1965,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
24,47.2,60,India,Ahmedabad,Diversified,True,M,Adani,Gautam,1962,180.44,7.7,2611000000000,28.1%,113.0%,69.4,1366417754,2476,157,157
25,45.1,85,United States,Hillsboro,Fashion & Retail,True,M,Knight,Phil,1938,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
26,45.0,39,China,Beijing,Technology,True,M,Zhang,Yiming,1984,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
27,42.9,83,Germany,Neckarsulm,Fashion & Retail,False,M,Schwarz,Dieter,1939,112.85,1.4,3845630030824,70.2%,104.0%,80.9,83132799,2476,102,102
28,40.1,86,France,Paris,Fashion & Retail,True,M,Pinault,François,1936,110.05,1.1,2715518274227,65.6%,102.5%,82.5,67059887,2476,35,35
29,39.1,85,Switzerland,Schindellegi,Logistics,False,M,Kuehne,Klaus-Michael,1937,99.55,0.4,703082435360,59.6%,105.2%,83.6,8574832,2476,78,78
30,38.9,58,Belgium,Brussels,Food & Beverage,False,M,Ferrero,Giovanni,1964,117.11,1.4,529606710418,79.7%,103.9%,81.6,11484055,2476,3,3
31,38.3,83,United States,The Plains,Food & Beverage,False,F,Mars,Jacqueline,1939,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
31,38.3,87,United States,Jackson,Food & Beverage,False,M,Mars,John,1935,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
34,35.3,51,China,Shenzhen,Technology,True,M,Ma,Huateng,1971,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
35,35.0,77,United States,Las Vegas,Gambling & Casinos,False,F,Adelson,Miriam,1945,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
35,35.0,54,United States,Miami,Finance & Investments,True,M,Griffin,Ken,1968,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
37,34.7,30,Austria,Salzburg,Food & Beverage,False,M,Mateschitz,Mark,1992,118.06,1.5,446314739528,85.1%,103.1%,81.6,8877067,2476,11,11
38,33.4,54,China,Ningde,Automotive,True,M,Zeng,Robin,1969,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
39,32.6,74,Japan,Tokyo,Fashion & Retail,True,M,Yanai,Tadashi,1949,105.48,0.5,5081769542380,63.2%,98.8%,84.2,126226568,2476,38,38
40,32.1,65,United Kingdom,London,Diversified,True,M,Blavatnik,Len,1957,119.62,1.7,2827113184696,60.0%,101.2%,81.3,66834405,2476,82,82
41,31.6,74,United States,New York,Fashion & Retail,False,M,Wertheimer,Alain,1948,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
41,31.6,72,United States,New York,Fashion & Retail,False,M,Wertheimer,Gerard,1951,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
43,31.2,82,Switzerland,Geneva,Logistics,True,M,Aponte,Gianluigi,1940,99.55,0.4,703082435360,59.6%,105.2%,83.6,8574832,2476,78,78
43,31.2,78,Switzerland,Geneva,Logistics,True,F,Aponte-Diamant,Rafaela,1945,99.55,0.4,703082435360,59.6%,105.2%,83.6,8574832,2476,78,78
45,30.2,43,China,Shanghai,Technology,True,M,Huang,Colin Zheng,1980,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
46,29.7,87,Germany,Kuenzelsau,Manufacturing,True,M,Wuerth,Reinhold,1935,112.85,1.4,3845630030824,70.2%,104.0%,80.9,83132799,2476,102,102
48,28.5,64,United States,Haverford,Finance & Investments,True,M,Yass,Jeff,1958,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
49,28.1,84,United States,East Setauket,Finance & Investments,True,M,Simons,Jim,1938,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
50,27.8,76,United States,New York,Finance & Investments,True,M,Schwarzman,Stephen,1947,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
51,27.4,60,Germany,Bad Homburg,Automotive,False,F,Klatten,Susanne,1962,112.85,1.4,3845630030824,70.2%,104.0%,80.9,83132799,2476,102,102
52,27.0,69,Australia,Perth,Metals & Mining,False,F,Rinehart,Gina,1954,119.8,1.6,1392680589329,113.1%,100.3%,82.7,25766605,2476,43,43
53,26.7,51,China,Hangzhou,Technology,True,M,Ding,William,1971,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
54,26.6,69,Mexico,Mexico City,Metals & Mining,False,M,Larrea Mota Velasco,Germán,1953,141.54,3.6,1258286717125,40.2%,105.8%,75.0,126014024,2476,13,13
55,25.6,77,India,Delhi,Technology,True,M,Nadar,Shiv,1945,180.44,7.7,2611000000000,28.1%,113.0%,69.4,1366417754,2476,157,157
56,25.5,74,Indonesia,Jakarta,Energy,True,M,Low Tuck,Kwong,1948,151.18,3.0,1119190780753,36.3%,106.4%,71.5,270203917,2476,25,25
57,25.3,78,United States,Palm Beach,Finance & Investments,True,M,Peterffy,Thomas,1944,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
58,25.2,51,United Arab Emirates,Ras Al Khaimah,Metals & Mining,True,M,Melnichenko,Andrey,1972,114.52,-1.9,421142267938,36.8%,108.4%,77.8,9770529,2476,17,17
59,24.6,56,Germany,Frankfurt,Automotive,False,M,Quandt,Stefan,1966,112.85,1.4,3845630030824,70.2%,104.0%,80.9,83132799,2476,102,102
60,24.4,52,United States,Seattle,Technology,False,F,Scott,MacKenzie,1970,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
61,24.2,82,Indonesia,Kudus,Finance & Investments,False,M,Hartono,R. Budi,1941,151.18,3.0,1119190780753,36.3%,106.4%,71.5,270203917,2476,25,25
62,23.7,62,Russia,Moscow,Metals & Mining,True,M,Potanin,Vladimir,1961,180.75,4.5,1699876578871,81.9%,102.6%,72.7,144373535,2476,79,79
63,23.5,58,China,Hangzhou,Technology,True,M,Ma,Jack,1964,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
64,23.4,80,China,Foshan,Manufacturing,True,M,He,Xiangjian,1942,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
65,23.1,80,Chile,Santiago,Metals & Mining,False,F,Fontbona,Iris,1943,131.91,2.6,282318159745,88.5%,101.4%,80.0,18952038,2476,6,6
65,23.1,83,Indonesia,Kudus,Manufacturing,False,M,Hartono,Michael,1939,151.18,3.0,1119190780753,36.3%,106.4%,71.5,270203917,2476,25,25
67,22.9,70,United Kingdom,London,Manufacturing,True,M,Ratcliffe,James,1953,119.62,1.7,2827113184696,60.0%,101.2%,81.3,66834405,2476,82,82
68,22.6,81,India,Pune,Healthcare,False,M,Poonawalla,Cyrus,1941,180.44,7.7,2611000000000,28.1%,113.0%,69.4,1366417754,2476,157,157
69,22.4,65,Japan,Tokyo,Telecom,True,M,Son,Masayoshi,1957,105.48,0.5,5081769542380,63.2%,98.8%,84.2,126226568,2476,38,38
70,22.1,66,Russia,Moscow,Metals & Mining,True,M,Lisin,Vladimir,1956,180.75,4.5,1699876578871,81.9%,102.6%,72.7,144373535,2476,79,79
71,22.0,52,France,Laval,Food & Beverage,False,M,Besnier,Emmanuel,1970,110.05,1.1,2715518274227,65.6%,102.5%,82.5,67059887,2476,35,35
72,21.6,61,United States,Milton,Finance & Investments,False,F,Johnson,Abigail,1961,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
